 ,X,Y,Counter,Count
1,540.000,342.000,2,32
2,171.500,743.500,2,32
3,710.167,982.167,2,32
4,15.500,111.500,2,32
5,920.833,346.167,2,32
6,816.833,332.833,2,32
7,1114.167,118.167,2,32
8,1365.500,284.000,2,32
9,1410.167,436.833,2,32
10,1299.000,362.500,2,32
11,1320.500,606.000,2,32
12,876.833,663.500,2,32
13,659.500,746.167,2,32
14,410.167,866.167,2,32
15,100.000,765.500,2,32
16,35.500,693.000,2,32
17,35.500,426.000,2,32
18,88.167,395.500,2,32
19,11.500,850.167,2,32
20,887.500,472.833,2,32
21,432.833,663.500,2,32
22,478.167,142.167,2,32
23,-3.167,395.500,2,32
24,46.167,898.167,2,32
25,277.000,444.500,2,32
26,432.000,333.000,2,32
27,810.167,39.500,2,32
