 ,X,Y,Counter,Count
1,416.000,76.000,0,162
2,127.500,331.500,0,162
3,366.522,363.632,0,162
4,643.955,548.588,0,162
5,560.147,447.440,0,162
6,664.185,219.135,0,162
7,909.829,456.110,0,162
8,915.609,360.742,0,162
9,846.251,331.842,0,162
10,886.710,606.386,0,162
11,623.726,823.131,0,162
12,649.735,938.729,0,162
13,565.927,1074.555,0,162
14,591.937,1028.317,0,162
15,482.119,1094.785,0,162
16,479.229,1155.474,0,162
17,482.119,1204.603,0,162
18,441.660,1201.713,0,162
19,337.622,1256.621,0,162
20,328.953,1143.914,0,162
21,363.632,1080.335,0,162
22,308.723,1031.207,0,162
23,271.154,1187.263,0,162
24,245.144,1158.364,0,162
25,459.000,1354.879,0,162
26,658.405,1392.448,0,162
27,701.754,1435.797,0,162
28,739.323,1502.266,0,162
29,805.792,1273.961,0,162
30,800.012,1227.722,0,162
31,895.380,1216.162,0,162
32,843.361,1031.207,0,162
33,1094.785,915.609,0,162
34,1193.043,826.021,0,162
35,1123.684,1057.216,0,162
36,1129.464,1106.345,0,162
37,915.609,1291.301,0,162
38,1207.492,1297.080,0,162
39,1401.118,1285.521,0,162
40,1516.715,935.839,0,162
41,1461.807,956.068,0,162
42,1458.917,834.691,0,162
43,1430.017,750.883,0,162
44,1340.429,626.616,0,162
45,1383.778,450.330,0,162
46,528.358,288.493,0,162
47,456.110,265.374,0,162
48,756.663,352.072,0,162
49,1811.489,1097.675,0,162
50,1929.976,967.628,0,162
51,1785.479,1510.936,0,162
52,1736.350,1623.643,0,162
53,1586.074,1614.973,0,162
54,1493.596,1730.571,0,162
55,1386.668,1629.423,0,162
56,94.868,1453.137,0,162
57,112.207,1716.121,0,162
58,210.465,1690.111,0,162
59,190.236,1620.753,0,162
60,115.097,1805.709,0,162
61,120.877,1941.536,0,162
62,11.060,1958.875,0,162
63,39.959,1828.828,0,162
64,16.840,1788.369,0,162
65,2054.243,1958.875,0,162
66,2132.271,1927.086,0,162
67,2507.963,1955.985,0,162
68,2718.928,1664.102,0,162
69,3007.922,1129.464,0,162
70,2756.497,1057.216,0,162
71,2687.139,892.490,0,162
72,2635.120,1213.272,0,162
73,2401.035,1317.310,0,162
74,2291.218,1418.458,0,162
75,2210.300,1418.458,0,162
76,2135.161,1297.080,0,162
77,2100.482,1216.162,0,162
78,2013.784,1112.125,0,162
79,2325.897,788.452,0,162
80,2204.520,669.965,0,162
81,2308.557,557.257,0,162
82,2444.384,580.377,0,162
83,2597.551,496.569,0,162
84,2551.312,438.770,0,162
85,2580.211,343.402,0,162
86,2843.195,493.679,0,162
87,3033.931,438.770,0,162
88,2294.108,242.254,0,162
89,2302.778,216.245,0,162
90,2140.941,239.365,0,162
91,2409.705,187.346,0,162
92,2418.375,74.638,0,162
93,2551.312,161.336,0,162
94,2640.900,143.997,0,162
95,2828.746,54.409,0,162
96,2944.343,198.905,0,162
97,2389.476,1195.933,0,162
98,2259.428,1161.253,0,162
99,1912.636,1508.046,0,162
100,2065.803,1536.945,0,162
101,2588.881,1698.781,0,162
102,297.163,1837.498,0,162
103,300.053,1299.970,0,162
104,1435.797,539.918,0,162
105,1395.338,589.047,0,162
106,2239.199,138.217,0,162
107,2181.400,167.116,0,162
108,661.295,363.632,1,102
109,386.751,641.065,1,102
110,667.075,707.534,1,102
111,713.314,898.270,1,102
112,802.902,953.178,1,102
113,730.653,1068.776,1,102
114,658.405,1106.345,1,102
115,797.122,1083.225,1,102
116,846.251,1146.804,1,102
117,1080.335,1071.666,1,102
118,1025.427,1016.757,1,102
119,1187.263,906.939,1,102
120,236.475,1002.307,1,102
121,337.622,1493.596,1,102
122,279.824,1586.074,1,102
123,418.540,1669.882,1,102
124,326.063,1753.690,1,102
125,248.034,1799.929,1,102
126,198.905,1820.158,1,102
127,196.016,1872.177,1,102
128,201.795,1955.985,1,102
129,1652.542,1071.666,1,102
130,1872.177,863.590,1,102
131,1724.791,733.543,1,102
132,1739.240,629.506,1,102
133,1935.756,695.974,1,102
134,1658.322,727.763,1,102
135,1620.753,747.993,1,102
136,1560.064,811.571,1,102
137,1562.954,863.590,1,102
138,1560.064,747.993,1,102
139,1513.825,675.745,1,102
140,1432.907,652.625,1,102
141,1349.099,719.094,1,102
142,1346.209,493.679,1,102
143,1247.952,554.367,1,102
144,1776.809,308.723,1,102
145,2132.271,412.761,1,102
146,2178.510,528.358,1,102
147,2635.120,797.122,1,102
148,2681.359,791.342,1,102
149,2805.626,785.562,1,102
150,2895.214,768.222,1,102
151,3031.041,580.377,1,102
152,2880.764,398.311,1,102
153,2825.856,380.971,1,102
154,3025.261,328.952,1,102
155,2811.406,193.126,1,102
156,2877.875,253.814,1,102
157,2886.544,216.245,1,102
158,2898.104,68.858,1,102
159,2967.462,161.336,1,102
160,2239.199,1510.936,1,102
161,2135.161,1525.385,1,102
162,612.166,1291.301,1,102
163,560.147,1340.429,1,102
164,352.072,1424.237,1,102
165,37.069,1640.983,1,102
166,16.840,1574.514,1,102
167,37.069,1502.266,1,102
168,135.327,1591.854,1,102
169,444.550,1412.678,0,162
170,655.515,1646.762,0,162
171,690.194,1187.263,0,162
172,759.553,415.651,0,162
173,2120.712,669.965,0,162
174,2247.869,944.508,0,162
175,2308.557,898.270,0,162
176,2403.925,690.194,0,162
177,2690.029,583.267,0,162
178,2692.919,632.396,0,162
179,2736.268,632.396,0,162
180,2869.205,675.745,0,162
181,2398.146,1484.926,0,162
182,1707.451,1976.215,0,162
183,669.965,2036.904,0,162
184,2094.702,742.213,0,162
185,701.754,459.000,1,102
186,655.515,288.493,1,102
187,594.826,360.742,1,102
188,499.459,1034.096,1,102
189,511.018,1331.760,1,102
190,1794.149,1828.828,1,102
191,1834.608,1762.360,1,102
192,1953.095,1727.681,1,102
193,2528.192,1325.980,1,102
194,2461.724,1091.895,1,102
195,2470.394,840.471,1,102
196,2427.045,834.691,1,102
197,2351.906,106.428,1,102
198,2328.787,57.299,1,102
199,2158.281,45.739,1,102
200,2632.230,45.739,1,102
201,2953.013,473.449,1,102
202,2614.890,1247.952,1,102
203,323.173,1629.423,1,102
204,1008.087,1169.923,1,102
205,999.417,1109.235,1,102
206,727.763,1320.200,1,102
207,904.049,1100.565,0,162
208,930.059,1175.703,0,162
209,944.508,1091.895,0,162
210,2054.243,505.238,0,162
211,2031.124,615.056,0,162
212,2429.935,1609.193,0,162
213,2759.387,1441.577,0,162
214,1716.121,1773.920,0,162
215,1698.781,1733.460,0,162
216,1721.901,1834.608,0,162
217,1808.599,1903.967,0,162
218,2311.448,1669.882,0,162
219,2195.850,435.880,0,162
220,2661.129,222.025,0,162
221,2961.683,103.538,0,162
222,3005.031,25.509,0,162
223,2643.790,1187.263,0,162
224,2308.557,1268.181,0,162
225,2253.649,1294.191,0,162
226,2114.932,1424.238,0,162
227,1661.212,1996.444,1,102
228,1849.058,1681.442,1,102
229,1912.636,1788.369,1,102
230,2005.114,1649.652,1,102
231,2204.520,918.499,1,102
232,1987.775,869.370,1,102
233,1955.985,499.459,1,102
234,2979.022,678.635,1,102
235,2912.554,667.075,1,102
236,1221.942,889.600,0,162
237,2938.563,898.270,0,162
238,2614.890,996.527,0,162
239,2562.872,996.527,0,162
240,2349.017,1008.087,0,162
241,2323.007,1062.996,1,102
242,2447.274,1710.341,1,102
243,2476.174,1658.322,1,102
244,2389.476,1707.451,1,102
245,2366.356,1609.193,1,102
246,2490.623,1548.505,1,102
247,2609.111,1427.127,1,102
248,2450.164,1427.127,1,102
249,2606.221,1354.879,0,162
250,2701.589,1320.200,0,162
251,2770.947,1314.420,0,162
252,2721.818,1409.788,0,162
253,2010.894,1204.603,0,162
254,1938.646,1161.254,0,162
255,2010.894,1343.319,0,162
256,1851.948,1245.062,2,7
257,1915.526,1354.879,2,7
258,2045.573,1458.917,2,7
259,2539.752,1045.656,2,7
260,2172.730,1245.062,2,7
261,2126.492,935.839,2,7
262,2334.567,664.185,0,162
